Nama.Produk,Harga,Gambar,Berat,Kipas,Backlight.Keyboard,Volume,Lebar,Ketinggian,Ketebalan,ukuran.layar,Resolusi,Kerapatan.Piksel,Jenis.Layar,Layar.Sentuh,Anti.Pantul,RAM,Kecepatan.RAM,Penyimpanan.Flash,Penyimpanan.Internal,Kecepatan.CPU,Thread.CPU,SSD.NVME,HDMI,USB.Daya,Adaptor.Magsafe,Suara.Stereo,"Konektor.Suara.3,5mm",Dolby.Atmos,Stylus,Pemindai.Sidikjari,Jumlah.Mikrofon,Pengenal.Wajah.3D
"Acer Predator Helios 16 PH16-71-948L 16"" Intel Core i9-13900HX 2.2GHz / Nvidia GeForce RTX 4080 Laptop / 32GB RAM / 1TB SSD",2349,https://images.versus.io/objects/acer-predator-helios-16-ph16-71-948l-16-intel-core-i9-13900hx-2-2ghz-nvidia-geforce-rtx-4080-laptop-32gb-ram-1tb-ssd.front.master.1695913859265.jpg,2.6,0,1,2596933,358,279,26,16,2560 x 1600px,188,"LCD, LED-backlit",0,0,32,5600,1,1024,8 x 2.2GHz & 16 x 1.6GHz,32,1,1,1,0,1,0,0,0,0,1,0
"Lenovo Legion Pro 7i 16"" WQXGA Intel Core i9-13900HX 2.2GHz / Nvidia GeForce RTX 4080 Laptop / 32GB RAM / 1TB SSD + 1TB SSD",2498,https://images.versus.io/objects/lenovo-legion-pro-7i-16-wqxga-intel-core-i9-13900hx-2-2ghz-nvidia-geforce-rtx-4080-laptop-32gb-ram-1tb-ssd-1tb-ssd.front.master.1676294458542.jpg,2.8,0,1,2377653,363,262,25,16,2560 x 1600px,188,"LCD, IPS",0,1,32,5600,1,1024,8 x 2.2GHz & 16 x 1.6GHz,32,1,1,1,0,1,1,0,0,0,2,0
"Dell G15 5510 15.6"" Intel Core i5-10500H 2.5GHz / Nvidia GeForce GTX 1650 Laptop / 8GB RAM / 256GB SSD",1054,https://images.versus.io/objects/dell-g15-5510-15-6-intel-core-i5-10500h-2-5ghz-nvidia-geforce-gtx-1650-laptop-8gb-ram-256gb-ssd.front.master.1637311957531.jpg,2.44,0,1,2270453,357.2,272.8,23.3,15.6,1920 x 1080px,141,"IPS, LCD, LED-backlit",0,1,8,2933,1,256,6 x 2.5GHz,12,0,1,1,0,1,1,0,0,0,2,0
"Asus ROG Zephyrus Duo 16 (2023) 16"" QHD Plus AMD Ryzen 9 7945HX 2.5GHz / Nvidia GeForce RTX 4080 Laptop / 64GB RAM / 2TB SSD + 2TB SSD",3.48,https://images.versus.io/objects/asus-rog-zephyrus-duo-16-2023-16-qhd-plus-amd-ryzen-9-7945hx-2-5ghz-nvidia-geforce-rtx-4080-laptop-64gb-ram-2tb-ssd-2tb-ssd.front.master.1690456926033.jpg,2.67,0,1,1888.63,355,266,20,16,2560 x 1600px,188,Mini-LED,0,1,64,4800,1,2048,16 x 2.5GHz,32,1,1,1,0,1,1,1,0,0,3,0
"Lenovo IdeaPad Slim 3 Gen 6 15.6"" AMD Ryzen 5 5500U 2.1GHz / 8GB RAM / 512GB SSD",550,https://images.versus.io/objects/lenovo-ideapad-slim-3-gen-6-15-6-amd-ryzen-5-5500u-2-1ghz-8gb-ram-512gb-ssd.front.master.1682607321187.jpg,1.7,0,1,2657473,355,245,19,15.6,1920 x 1080px,141,LED-backlit,0,1,8,3200,1,512,6 x 2.1GHz,12,1,1,0,0,1,1,0,0,0,2,0
Dell Alienware X17 R1 Intel Core i7-11800H 2.3GHz / Nvidia GeForce RTX 3070 Laptop / 32GB RAM / 512GB SSD,2999,https://images.versus.io/objects/dell-alienware-x17-r1-intel-core-i7-11800h-2-3ghz-nvidia-geforce-rtx-3070-laptop-32gb-ram-512gb-ssd.front.master.1624554397387.jpg,3.2,0,1,2498813,399.2,299.5,20.9,17.3,1920 x 1080px,127,"LED-backlit, LCD",0,1,16,3200,1,512,8 x 2.3GHz,16,0,1,1,0,1,1,0,0,0,2,0
Lenovo IdeaPad 330 15.6â€? Intel Pentium Silver N5000 1.1GHz / 4GB RAM / 1TB HDD,299,https://images.versus.io/objects/lenovo-ideapad-330-15-6-intel-pentium-silver-n5000-1-1ghz-4gb-ram-1tb-hdd.front.master.1576684641045.jpg,2.2,0,0,2250613,378,260,22.9,15.6,1366 x 768px,100,"LED-backlit, LCD",0,1,4,2400,0,1000,4 x 1.1GHz,4,0,1,1,0,1,1,0,0,0,2,0
"Lenovo ThinkPad P1 15.6"" UHD Intel Xeon E-2176M 2.7GHz / 32GB RAM / 1TB SSD",1.9,https://images.versus.io/objects/lenovo-thinkpad-p1-15-6-uhd-intel-xeon-e-2176m-2-7ghz-32gb-ram-1tb-ssd.front.master.1579992060629.jpg,1.7,0,1,1635653,361.8,245.7,18.4,15.6,3840 x 2160px,282,"IPS, LCD, LED-backlit",1,1,32,2666,1,1000,6 x 2.7GHz,12,0,1,0,0,1,1,0,0,1,2,0
"Lenovo ThinkPad P1 15.6"" UHD Intel Core i7-8850H 2.6GHz / 16GB RAM / 512GB SSD",677,https://images.versus.io/objects/lenovo-thinkpad-p1-15-6-uhd-intel-core-i7-8850h-2-6ghz-16gb-ram-512gb-ssd.front.master.1579991224283.jpg,1.7,0,1,1635653,361.8,245.7,18.4,15.6,3840 x 2160px,282,"IPS, LCD, LED-backlit",1,1,16,2666,1,512,6 x 2.6GHz,12,0,1,1,0,1,1,0,0,1,2,0
"Lenovo Yoga C930 13.9"" Intel Core i5-8250U 1.6GHz / 8GB RAM / 256GB SSD",440,https://images.versus.io/objects/lenovo-yoga-c930-13-9-intel-core-i5-8250u-1-6ghz-8gb-ram-256gb-ssd.front.master.1576684641045.jpg,1.38,1,1,1052553,320.2,226.7,14.5,13.9,1920 x 1080px,158,"IPS, LCD, LED-backlit",1,0,8,2400,1,256,4 x 1.6GHz,8,0,0,1,0,1,1,0,1,1,2,0
