"","Nama.Produk","Nama.Prosesor","Nama.GPU","Harga","Gambar","Berat","Kipas","Backlight.Keyboard","Volume","Lebar","Ketinggian","Ketebalan","Ukuran.Layar","Resolusi","Kerapatan.Piksel","Jenis.Layar","Layar.Sentuh","Anti.Pantul","RAM","Kecepatan.RAM","Penyimpanan.Flash","Penyimpanan.Internal","Kecepatan.CPU","Thread.CPU","SSD.NVME","HDMI","USB.Daya","Adaptor.Magsafe","Suara.Stereo","Konektor.Suara.3,5mm","Dolby.Atmos","Stylus","Pemindai.Sidikjari","Jumlah.Mikrofon","Pengenal.Wajah.3D"
"1","Acer Predator Helios 16 PH16-71-948L 16""","Intel Core i9-13900HX 2.2GHz","Nvidia GeForce RTX 4080 Laptop ",0.853989705676776,"https://images.versus.io/objects/acer-predator-helios-16-ph16-71-948l-16-intel-core-i9-13900hx-2-2ghz-nvidia-geforce-rtx-4080-laptop-32gb-ram-1tb-ssd.front.master.1695913859265.jpg",0.955511445027436,0,1,7.8620864123311,35.8,5.2820450584977,0.955511445027436,2.25388553391693,"2560 x 1600px",1.65564225297093,"LCD, LED-backlit",0,0,3.46573590279973,8.63052187672324,1,6.93147180559945,"8 x 2.2GHz & 16 x 1.6GHz",3.46573590279973,1,1,1,0,1,0,0,0,0,1,0
"2","Lenovo Legion Pro 7i 16"" WQXGA","Intel Core i9-13900HX 2.2GHz","Nvidia GeForce RTX 4080 Laptop ",0.915490411703386,"https://images.versus.io/objects/lenovo-legion-pro-7i-16-wqxga-intel-core-i9-13900hx-2-2ghz-nvidia-geforce-rtx-4080-laptop-32gb-ram-1tb-ssd-1tb-ssd.front.master.1676294458542.jpg",1.02961941718116,0,1,7.77386914566126,36.3,5.11859355682789,0.916290731874155,2.25388553391693,"2560 x 1600px",1.65564225297093,"LCD, IPS",0,1,3.46573590279973,8.63052187672324,1,6.93147180559945,"8 x 2.2GHz & 16 x 1.6GHz",3.46573590279973,1,1,1,0,1,1,0,0,0,2,0
"3","Dell G15 5510 15.6""","Intel Core i5-10500H 2.5GHz","Nvidia GeForce GTX 1650 Laptop ",0.0525924501191706,"https://images.versus.io/objects/dell-g15-5510-15-6-intel-core-i5-10500h-2-5ghz-nvidia-geforce-gtx-1650-laptop-8gb-ram-256gb-ssd.front.master.1637311957531.jpg",0.89199803930511,0,1,7.72773465003747,35.72,5.22302594288024,0.845868267577609,2.46900789792176,"1920 x 1080px",1.59913701799709,"IPS, LCD, LED-backlit",0,1,2.07944154167984,7.98378106897745,1,5.54517744447956,"6 x 2.5GHz",2.484906649788,0,1,1,0,1,1,0,0,0,2,0
"4","Asus ROG Zephyrus Duo 16 (2023) 16"" QHD Plus","AMD Ryzen 9 7945HX 2.5GHz","Nvidia GeForce RTX 4080 Laptop ",1.24703229378638,"https://images.versus.io/objects/asus-rog-zephyrus-duo-16-2023-16-qhd-plus-amd-ryzen-9-7945hx-2-5ghz-nvidia-geforce-rtx-4080-laptop-64gb-ram-2tb-ssd-2tb-ssd.front.master.1690456926033.jpg",0.982078472412158,0,1,7.54360697748519,35.5,5.15751878329105,0.693147180559945,2.25388553391693,"2560 x 1600px",1.65564225297093,"Mini-LED",0,1,4.15888308335967,8.47637119689598,1,7.6246189861594,"16 x 2.5GHz",3.46573590279973,1,1,1,0,1,1,1,0,0,3,0
"5","Lenovo IdeaPad Slim 3 Gen 6 15.6""","AMD Ryzen 5 5500U 2.1GHz","Integrated",-0.59783700075562,"https://images.versus.io/objects/lenovo-ideapad-slim-3-gen-6-15-6-amd-ryzen-5-5500u-2-1ghz-8gb-ram-512gb-ssd.front.master.1682607321187.jpg",0.53062825106217,0,1,7.88513095023975,35.5,4.94974746830583,0.641853886172395,2.46900789792176,"1920 x 1080px",1.59913701799709,"LED-backlit",0,1,2.07944154167984,8.07090608878782,1,6.23832462503951,"6 x 2.1GHz",2.484906649788,1,1,0,0,1,1,0,0,0,2,0
"6","Dell Alienware X17 R1","Intel Core i7-11800H 2.3GHz","Nvidia GeForce RTX 3070 Laptop ",1.09827889976687,"https://images.versus.io/objects/dell-alienware-x17-r1-intel-core-i7-11800h-2-3ghz-nvidia-geforce-rtx-3070-laptop-32gb-ram-512gb-ssd.front.master.1624554397387.jpg",1.16315080980568,0,1,7.82357109810308,39.92,5.47265931700485,0.73716406597672,1.33341666406266,"1920 x 1080px",1.57777944725274,"LED-backlit, LCD",0,1,2.77258872223978,8.07090608878782,1,6.23832462503951,"8 x 2.3GHz",2.77258872223978,0,1,1,0,1,1,0,0,0,2,0
"7","Lenovo IdeaPad 330 15.6""","Intel Pentium Silver N5000 1.1GHz","Integrated",-1.20731170559145,"https://images.versus.io/objects/lenovo-ideapad-330-15-6-intel-pentium-silver-n5000-1-1ghz-4gb-ram-1tb-hdd.front.master.1576684641045.jpg",0.78845736036427,0,0,7.71895790253666,37.8,5.09901951359278,0.828551817566148,2.46900789792176,"1366 x 768px",1.5271796258079,"LED-backlit, LCD",0,1,1.38629436111989,7.78322401633604,0,6.90775527898214,"4 x 1.1GHz",1.38629436111989,0,1,1,0,1,1,0,0,0,2,0
"8","Lenovo ThinkPad P1 15.6"" UHD","Intel Xeon E-2176M 2.7GHz","Integrated",0.641853886172395,"https://images.versus.io/objects/lenovo-thinkpad-p1-15-6-uhd-intel-xeon-e-2176m-2-7ghz-32gb-ram-1tb-ssd.front.master.1579992060629.jpg",0.53062825106217,0,1,7.39979739197625,36.18,4.95681349255749,0.609765571620894,2.46900789792176,"3840 x 2160px",1.73022214150089,"IPS, LCD, LED-backlit",1,1,3.46573590279973,7.88833450073865,1,6.90775527898214,"6 x 2.7GHz",2.484906649788,0,1,0,0,1,1,0,0,1,2,0
"9","Lenovo ThinkPad P1 15.6"" UHD","Intel Core i7-8850H 2.6GHz","Integrated",-0.390084006069862,"https://images.versus.io/objects/lenovo-thinkpad-p1-15-6-uhd-intel-core-i7-8850h-2-6ghz-16gb-ram-512gb-ssd.front.master.1579991224283.jpg",0.53062825106217,0,1,7.39979739197625,36.18,4.95681349255749,0.609765571620894,2.46900789792176,"3840 x 2160px",1.73022214150089,"IPS, LCD, LED-backlit",1,1,2.77258872223978,7.88833450073865,1,6.23832462503951,"6 x 2.6GHz",2.484906649788,0,1,1,0,1,1,0,0,1,2,0
"10","Lenovo Yoga C930 13.9""","Intel Core i5-8250U 1.6GHz","Integrated",-0.82098055206983,"https://images.versus.io/objects/lenovo-yoga-c930-13-9-intel-core-i5-8250u-1-6ghz-8gb-ram-256gb-ssd.front.master.1576684641045.jpg",0.322083499169113,1,1,6.95897392058324,32.02,4.76130234284696,0.371563556432483,3.22707297717297,"1920 x 1080px",1.62187920421241,"IPS, LCD, LED-backlit",1,0,2.07944154167984,7.78322401633604,1,5.54517744447956,"4 x 1.6GHz",2.07944154167984,0,0,1,0,1,1,0,1,1,2,0
"11","Lenovo Yoga C630 13.3""","Qualcomm Snapdragon 850","Integrated",-0.479650006297541,"https://images.versus.io/objects/lenovo-yoga-c630-13-3-qualcomm-snapdragon-850-8gb-ram-256gb-ssd.front.master.1576684641045.jpg",0.182321556793955,1,1,6.72129677681765,30.68,4.6518813398452,0.22314355131421,3.45514109697419,"1920 x 1080px",1.63158832825324,"IPS, LCD, LED-backlit",1,0,2.07944154167984,7.53155238140729,1,5.54517744447956,"8 x 2.96GHz",2.07944154167984,0,0,1,0,1,1,0,1,1,2,0
"12","Asus ZenBook Pro UX501 15.6""","Intel Core i7-4720HQ 2.6GHz","Integrated",-0.00100050033358353,"https://images.versus.io/objects/asus-zenbook-pro-ux501-15-6-intel-core-i7-4720hq-2-6ghz-16gb-512gb.front.master.1576684641045.jpg",0.819779831493311,0,1,7.6402496070099,38.3,5.04975246918104,0.756121979721334,2.46900789792176,"3840 x 2160px",1.73022214150089,"LED-backlit, LCD",1,0,2.77258872223978,7.37775890822787,1,6.23832462503951,"4 x 2.6GHz",2.07944154167984,0,1,1,0,1,1,0,0,0,1,0
